naming,count
Ableton Live 8,	1
Basecamp,	1
Camtasia Studio for Windows,	1
Emotiv Research Edition,	2
iLife 08,	1
iLife 11,	9
iWork,	13
Morae,	1
NFC Hacker Starter Kit Software,	1
Silverback,	2
SnagIt for Windows,	1
Transcriva,	1
